회사명,제목,링크,지역,경력,학력,고용형태,마감일,직무분야,기타정보
(주)케미프렌드,케미칼 기술영업(화학) 채용 - 신입직/경력직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49465965&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,서울 강남구,경력무관,대졸↑,정규직,~ 12/25(수),"영업, 기술영업, 석유화학, 화학, 화공 외                    등록일 24/11/25",연봉상승률 10% 이상
아진산업(주),[미국현지채용] 현기차 1차사 아진 USA 보전팀 관리직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49312632&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,미국,경력무관,학력무관,정규직,채용시,"주간근무, 자동차, 설비보전, 자동차부품 수정일 24/11/18",평균연봉 상위 10%
(주)동탄이엔지,생산팀 채용공고 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49373002&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,경기 화성시,경력무관,학력무관,정규직,상시채용,"단순생산직, 주간근무, 생산, 제조, 반도체 등록일 24/11/11",연봉상승률 10% 이상
아진산업(주),[미국현지채용] 현기차 1차사 아진 조지아 보전팀 관리직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49412789&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,미국,경력무관,대졸↑,정규직,채용시,"주간근무, 자동차, 설비보전, 자동차부품 등록일 24/11/15",평균연봉 상위 10%
아진산업(주),[미국현지채용] 현기차 1차사 아진 조지아 보전현장 기술자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49469074&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,미국,경력 5~15년,고졸↑,정규직,채용시,"기술엔지니어, 자동차, 설비보전, 로봇제어, 자동차부품 등록일 24/11/25",평균연봉 상위 10%
(주)에이피알,[메디큐브 한국] 뷰티 온라인 마케팅 채용연계형 인턴사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49425490&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,서울 송파구,신입,대졸↑,,~ 12/17(화),"브랜드MD, 브랜딩, SNS마케팅, 콘텐츠기획, 브랜드마케팅 외                    수정일 24/11/19",취업축하금
(주)에이피알,[메디큐브 일본] 화장품 RA 채용연계형 인턴사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49425219&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,서울 송파구,신입,대졸↑,,~ 12/17(화),"총무, 사무직, 서무, 문서작성, 인/허가 외                    수정일 24/11/19",취업축하금
(주)더블유에스지,[포장인원 채용] 단순생산직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49350695&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,부산 기장군,경력무관,학력무관,정규직,~ 12/06(금),"단순생산직, 금속, 포장, 금속, 철강 외                    등록일 24/11/06",급성장중
(주)뉴프렉스,[베트남법인 현지채용] 품질보증팀 한국인 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49404597&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,아시아·중동 베트남,경력무관,초대졸↑,정규직,오늘마감,"VOC분석, 품질보증, 품질CS, 전자 등록일 24/11/14",
(주)펫프렌즈,[펫프렌즈] 콘텐츠마케터 채용연계형 인턴 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49436524&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,서울 강남구,신입·경력,학력무관,인턴직,채용시,"콘텐츠기획, 콘텐츠마케팅, 마케팅, 전자상거래, 쇼핑몰 외                    등록일 24/11/20","1,000억 이상 투자유치"
