회사명,채용중,기업규모,산업분야,존속기간,CEO,세부정보
한온시스템(주),2,"대기업,1000대기업",공기 조화장치 제조업,39년차,너달쿠추카야/나가수브라모니라마찬드란,"평균 연령 40대 이상, 프리한 복장 가능, 정시출근, 커리어 발전 기회, 평균근속 10년 이상"
현대위아(주),2,"대기업,1000대기업",그 외 자동차용 신품 부품 제조업,49년차,정재욱,"성과급 연 1회, 평균 연령 40대 이상, 프리한 복장 가능, 워라밸 Good, 자유로운 출근"
(주)농심,5,중견기업,"면류, 마카로니 및 유사식품 제조업",60년차,이병학,"정시출근, 프리한 복장 가능, 평균 연령 40대 이상, 야근없는 기업, 성과급 연 1회"
(주)아모텍,3,"중견기업,1000대기업",그 외 기타 전자부품 제조업,31년차,김병규,"정시출근, 프리한 복장 가능, 평균 연령 40대 이상, 워라밸 Good, 필요할 때 회식"
(주)제이에이에스,6,중견기업,기타 항공 운송지원 서비스업,25년차,장우영,"평균 연령 20대, 정장입고 출근, 정시출근, 평균근속 2년 미만, 필요할 때 회의"
현대제철(주),2,"대기업,1000대기업",제철업,61년차,서강현,"프리한 복장 가능, 평균 연령 40대 이상, 정시출근, 성과급 연 1회, 커리어 발전 기회"
에스엘(주),,중견기업,자동차용 기타 신품 부품 제조업,57년차,이성엽/김한영,"프리한 복장 가능, 성과급 연 1회, 정시출근, 커리어 발전 기회, 평균 연령 40대 이상"
한국바스프(주),2,"대기업,1000대기업",석유화학계 기초 화학물질 제조업,37년차,송준,"자유로운 연차, 프리한 복장 가능, 커리어 발전 기회, 성과급 연 1회, 자유로운 육아휴직"
(주)종근당바이오,5,중견기업,완제 의약품 제조업,24년차,박완갑,"프리한 복장 가능, 정시출근, 연차 모두 소진, 자유로운 연차, 필요할 때 회식"
(주)컬리,39,중소기업,전자상거래 소매업,11년차,김슬아,"프리한 복장 가능, 자유로운 연차, 평균 연령 30대, 정시출근, 평균근속 2년 미만"
(주)성우하이텍,3,중견기업,자동차 차체용 신품 부품 제조업,44년차,이명근/이문용/조성현,"프리한 복장 가능, 정시출근, 커리어 발전 기회, 성과급 연 2~3회, 평균 연령 30대"
한국수력원자력(주),,대기업,원자력 발전업,24년차,황주호,"자유로운 연차, 자유로운 출근, 자유로운 육아휴직, 커리어 발전 기회, 평균근속 10년 이상"
(주)카카오엔터테인먼트,5,대기업,응용 소프트웨어 개발 및 공급업,15년차,권기수/장윤중,"프리한 복장 가능, 간단한 식사회식, 성과급 연 1회, 필요할 때 회의, 평균 연령 30대"
(주)유니에스,45,중견기업,상용 인력 공급 및 인사관리 서비스업,35년차,이용훈,"정시출근, 필요할 때 회의, 평균근속 2년 미만, 야근없는 기업, 프리한 복장 가능"
하이트진로(주),,"대기업,1000대기업",알코올음료 제조업,71년차,김인규,"정시출근, 평균 연령 40대 이상, 평균근속 10년 이상, 필요할 때 회의, 워라밸 Good"
삼성SDI(주),,"대기업,1000대기업",축전지 제조업,55년차,최윤호,"프리한 복장 가능, 커리어 발전 기회, 정시출근, 자유로운 연차, 필요할 때 회의"
포스코홀딩스(주),,"대기업,1000대기업",제철업,57년차,장인화/정기섭,"정시출근, 평균 연령 40대 이상, 평균근속 10년 이상, 커리어 발전 기회, 프리한 복장 가능"
(주)경신,2,"중견기업,1000대기업",자동차용 신품 전기장치 제조업,51년차,이승관/오가타요시유키/우루시바타켄이치/금우연,"정시출근, 프리한 복장 가능, 성과급 연 1회, 워라밸 Good, 자유로운 연차"
(주)제이와이피엔터테인먼트,,,음악 및 기타 오디오물 출판업,404명,,"프리한 복장 가능, 평균 연령 20대, 성과급 연 1회, 자기개발비 지원, 정시출근"
(주)에스씨케이컴퍼니,,"대기업,1000대기업",커피 전문점,28년차,손정현,"필요할 때 회의, 프리한 복장 가능, 자유로운 육아휴직, 야근없는 기업, 정시출근"
오스템임플란트(주),1,"중견기업,1000대기업",치과용 기기 제조업,28년차,김해성,"정시출근, 평균 연령 30대, 평균근속 2~5년, 프리한 복장 가능, 커리어 발전 기회"
아이비커리어(주),95,중소기업,상용 인력 공급 및 인사관리 서비스업,20년차,황인범,"필요할 때 회의, 정시출근, 필요할 때 회식, 평균 연령 30대, 프리한 복장 가능"
지에스건설(주),8,"대기업,1000대기업",토목시설물 건설업,56년차,허윤홍/허창수,"평균 연령 40대 이상, 프리한 복장 가능, 정시출근, 커리어 발전 기회, 성과급 연 1회"
(주)유라코퍼레이션,2,중견기업,그 외 자동차용 신품 부품 제조업,32년차,엄대열,"프리한 복장 가능, 성과급 연 1회, 커리어 발전 기회, 평균 연령 40대 이상, 정시출근"
(주)트랜스코스모스코리아,55,중견기업,콜센터 및 텔레마케팅 서비스업,24년차,타니히로유키,"프리한 복장 가능, 정시출근, 필요할 때 회의, 평균근속 2년 미만, 평균 연령 30대"
(주)티웨이에어서비스,2,중소기업,기타 항공 운송지원 서비스업,8년차,최상원,"평균 연령 20대, 정시출근, 필요할 때 회의, 야근없는 기업, 정장입고 출근"
한화에어로스페이스(주),,"대기업,1000대기업",항공기용 부품 제조업,48년차,손재일/김동관,"프리한 복장 가능, 평균 연령 40대 이상, 자유로운 연차, 워라밸 Good, 평균근속 10년 이상"
(주)오뚜기,3,,"면류, 마카로니 및 유사식품 제조업",54년차,함영준/황성만,"정시출근, 커리어 발전 기회, 평균 연령 30대, 평균근속 2~5년, 프리한 복장 가능"
엘지이노텍(주),,대기업,그 외 기타 전자부품 제조업,49년차,문혁수,"프리한 복장 가능, 정시출근, 필요할 때 회의, 성과급 연 1회, 평균 연령 30대"
엘지디스플레이(주),,"대기업,1000대기업",액정 표시장치 제조업,40년차,정철동,"프리한 복장 가능, 정시출근, 성과급 연 1회, 커리어 발전 기회, 워라밸 Good"
S-OIL(주),1,"대기업,1000대기업",원유 정제처리업,49년차,,"평균 연령 40대 이상, 정시출근, 프리한 복장 가능, 커리어 발전 기회, 평균근속 10년 이상"
(주)야놀자,32,"중견기업,스타트업",데이터베이스 및 온라인정보 제공업,18년차,이수진,"프리한 복장 가능, 평균 연령 30대, 자유로운 연차, 평균근속 2년 미만, 커리어 발전 기회"
(주)서연이화,,"중견기업,1000대기업",자동차 차체용 신품 부품 제조업,11년차,강용석,"정시출근, 커리어 발전 기회, 성과급 연 1회, 프리한 복장 가능, 평균 연령 40대 이상"
(주)바디프랜드,3,"중견기업,1000대기업",그 외 기타 의료용 기기 제조업,18년차,김흥석/지성규,"정시출근, 평균 연령 30대, 세미정장, 평균근속 2년 미만, 필요할 때 회의"
(주)키스템프그룹,259,중소기업,상용 인력 공급 및 인사관리 서비스업,19년차,이정호,"정시출근, 평균근속 2년 미만, 필요할 때 회의, 평균 연령 30대, 간단한 식사회식"
온세미컨덕터코리아(주),1,,기타 반도체소자 제조업,27년차,강병곤/리밍왕,"프리한 복장 가능, 정시출근, 자유로운 육아휴직, 필요할 때 회의, 자유로운 연차"
(주)풀무원,8,중견기업,그 외 기타 식료품 제조업,41년차,이효율,"평균 연령 30대, 자유로운 출근, 프리한 복장 가능, 워라밸 Good, 평균근속 2~5년"
(주)티웨이항공,,중견기업,항공 여객 운송업,22년차,정홍근,"프리한 복장 가능, 필요할 때 회의, 커리어 발전 기회, 평균 연령 30대, 정시출근"
대상(주),9,,전분제품 및 당류 제조업,69년차,임정배,"정시출근, 평균 연령 40대 이상, 커리어 발전 기회, 워라밸 Good, 회의가 많아요"
(주)DB하이텍,1,"대기업,1000대기업",비메모리용 및 기타 전자집적회로 제조업,72년차,조기석,"정시출근, 프리한 복장 가능, 필요할 때 회의, 필요할 때 회식, 커리어 발전 기회"
