회사명,채용중,기업규모,산업분야,존속기간,CEO,세부정보
롯데케미칼(주),,"대기업,1000대기업",석유화학계 기초 화학물질 제조업,49년차,신동빈/이영준/황진구/이훈기,"프리한 복장 가능, 커리어 발전 기회, 성과급 연 1회, 평균 연령 40대 이상, 연차 모두 소진"
(주)고운세상코스메틱,,중소기업,화장품 제조업,26년차,이주호,"자유로운 출근, 평균 연령 30대, 프리한 복장 가능, 성과급 연 1회, 자기개발비 지원"
(주)이랜드월드,,"대기업,1000대기업","근무복, 작업복 및 유사의복 제조업",43년차,조동주/최종양,"프리한 복장 가능, 정시출근, 평균 연령 30대, 간단한 식사회식, 커리어 발전 기회"
현대종합금속(주),1,중견기업,피복 및 충전 용접봉 제조업,50년차,김용덕/정은성,"정시출근, 프리한 복장 가능, 평균 연령 40대 이상, 커리어 발전 기회, 필요할 때 회의"
아시아나에어포트(주),3,대기업,기타 항공 운송지원 서비스업,37년차,장경호,"프리한 복장 가능, 필요할 때 회의, 정시출근, 평균 연령 40대 이상, 성과급 4회 이상"
지엠비코리아(주),1,,그 외 자동차용 신품 부품 제조업,46년차,정세영/송병영,"정시출근, 평균 연령 40대 이상, 커리어 발전 기회, 월 1회 회식, 프리한 복장 가능"
(주)현대바이오랜드,3,대기업,의약용 화합물 및 항생물질 제조업,30년차,이희준,"정시출근, 프리한 복장 가능, 성과급 연 1회, 평균 연령 30대, 커리어 발전 기회"
(주)큐브엔터테인먼트,1,중소기업,음악 및 기타 오디오물 출판업,12년차,강승곤/안우형/정철,"프리한 복장 가능, 자유로운 출근, 평균근속 2년 미만, 필요할 때 회식, 간단한 식사회식"
엘에스일렉트릭(주),,대기업,"전기회로 개폐, 보호장치 제조업",51년차,구자균/김동현,"정시출근, 커리어 발전 기회, 프리한 복장 가능, 자유로운 연차, 평균 연령 40대 이상"
씨제이푸드빌(주),12,대기업,서양식 음식점업,25년차,김찬호,"프리한 복장 가능, 평균 연령 30대, 커리어 발전 기회, 필요할 때 회의, 정시출근"
(주)와이지엔터테인먼트,1,중견기업,음악 및 기타 오디오물 출판업,27년차,양민석,"프리한 복장 가능, 자유로운 출근, 필요할 때 회의, 평균 연령 30대, 간단한 식사회식"
윌로펌프(주),3,중견기업,액체 펌프 제조업,25년차,전일승,"정시출근, 평균 연령 40대 이상, 프리한 복장 가능, 워라밸 Good, 필요할 때 회의"
더케이텍(주),27,중견기업,상용 인력 공급 및 인사관리 서비스업,27년차,박영진,"정시출근, 프리한 복장 가능, 필요할 때 회의, 워라밸 Good, 평균 연령 30대"
콘텐츠웨이브(주),,대기업,"영화, 비디오물 및 방송프로그램 배급업",13년차,,"자유로운 출근, 자유로운 연차, 평균 연령 30대, 프리한 복장 가능, 자유로운 육아휴직"
한화시스템(주),11,"대기업,1000대기업",그 외 기타 전자부품 제조업,25년차,손재일,"자유로운 출근, 프리한 복장 가능, 자유로운 연차, 필요할 때 회의, 연차 모두 소진"
(주)에프엔씨엔터테인먼트,6,중소기업,그 외 기타 창작 및 예술관련 서비스업,19년차,한성호/김유식,"프리한 복장 가능, 커리어 발전 기회, 자유로운 연차, 평균 연령 20대, 자유로운 출근"
(주)다스,1,"1000대기업,중견기업",그 외 자동차용 신품 부품 제조업,38년차,이상은/조진현,"정시출근, 프리한 복장 가능, 자유로운 연차, 평균 연령 40대 이상, 평균근속 10년 이상"
(주)SBS,,"대기업,1000대기업",지상파 방송업,35년차,방문신,"프리한 복장 가능, 정시출근, 자유로운 연차, 커리어 발전 기회, 필요할 때 회의"
티케이지태광(주),2,중견기업,기타 신발 제조업,45년차,박주환,"프리한 복장 가능, 정시출근, 성과급 연 1회, 커리어 발전 기회, 자유로운 연차"
에스제이지세종(주),,중견기업,그 외 자동차용 신품 부품 제조업,49년차,최정연/이동원,"평균 연령 40대 이상, 프리한 복장 가능, 평균근속 10년 이상, 커리어 발전 기회, 필요할 때 회식"
한국램리서치(유),,,전기용 기계ㆍ장비 및 관련 기자재 도매업,33년차,,
엔브이에이치코리아(주),,중견기업,자동차 차체용 신품 부품 제조업,41년차,구자겸/이규양,"정시출근, 프리한 복장 가능, 성과급 연 1회, 평균 연령 30대, 워라밸 Good"
JW중외제약(주),2,"중견기업,1000대기업",완제 의약품 제조업,72년차,신영섭,"정시출근, 평균근속 2~5년, 평균 연령 30대, 프리한 복장 가능, 커리어 발전 기회"
(주)조선호텔앤리조트,5,"대기업,1000대기업",호텔업,58년차,이주희,"정시출근, 프리한 복장 가능, 커리어 발전 기회, 필요할 때 회식, 필요할 때 회의"
(주)동진쎄미켐,,"중견기업,1000대기업",기타 기초 무기 화학물질 제조업,52년차,이부섭/이준혁,"정시출근, 프리한 복장 가능, 커리어 발전 기회, 평균 연령 30대, 평균근속 2~5년"
(주)에이피알,29,중견기업,화장품 제조업,11년차,김병훈,"프리한 복장 가능, 평균 연령 20대, 자유로운 출근, 평균근속 2년 미만, 워라밸 Good"
(주)에이블리코퍼레이션,4,중소기업,남녀용 겉옷 및 셔츠 도매업,10년차,강석훈,"프리한 복장 가능, 정시출근, 평균근속 2~5년, 자유로운 연차, 커리어 발전 기회"
삼성웰스토리(주),6,"대기업,1000대기업",기관 구내식당업,12년차,정해린,"프리한 복장 가능, 정시출근, 필요할 때 회의, 평균 연령 30대, 커리어 발전 기회"
네이버아이앤에스(주),2,"대기업,1000대기업",포털 및 기타 인터넷 정보매개 서비스업,16년차,노세관,"프리한 복장 가능, 평균 연령 30대, 자유로운 출근, 평균근속 2~5년, 정기적 회의 진행"
(주)카카오스타일,4,"대기업,스타트업",응용 소프트웨어 개발 및 공급업,13년차,서정훈,"자유로운 연차, 프리한 복장 가능, 평균 연령 30대, 정기적 회의 진행, 자유로운 출근"
태광후지킨(주),8,중견기업,"탭, 밸브 및 유사장치 제조업",18년차,김영호,"정시출근, 프리한 복장 가능, 평균 연령 30대, 성과급 연 1회, 필요할 때 회의"
엘에스엠트론(주),3,"대기업,1000대기업",농업 및 임업용 기계 제조업,17년차,신재호,"정시출근, 프리한 복장 가능, 자유로운 연차, 평균 연령 40대 이상, 워라밸 Good"
씨제이프레시웨이(주),8,"대기업,1000대기업",기타 가공식품 도매업,37년차,이건일,"평균 연령 30대, 필요할 때 회의, 프리한 복장 가능, 커리어 발전 기회, 정시출근"
(주)이수페타시스,3,"대기업,1000대기업",연성 및 기타 인쇄회로기판 제조업,53년차,최창복,"정시출근, 프리한 복장 가능, 필요할 때 회의, 성과급 연 1회, 커리어 발전 기회"
대한유화(주),,"중견기업,1000대기업",합성수지 및 기타 플라스틱 물질 제조업,55년차,,"평균 연령 40대 이상, 정시출근, 성과급 연 1회, 평균근속 10년 이상, 자유로운 연차"
롯데건설(주),12,"대기업,1000대기업",종합 건설업,66년차,박현철,"정시출근, 커리어 발전 기회, 프리한 복장 가능, 평균 연령 40대 이상, 성과급 연 1회"
엘비세미콘(주),1,중견기업,발광 다이오드 제조업,25년차,,"프리한 복장 가능, 정시출근, 필요할 때 회의, 평균 연령 30대, 성과급 연 1회"
(주)인터비즈시스템,4,중소기업,그 외 기타 분류 안된 사업지원 서비스업,36년차,이동환,"정시출근, 필요할 때 회의, 프리한 복장 가능, 간단한 식사회식, 평균 연령 30대"
스위스포트코리아(주),1,중소기업,기타 항공 운송지원 서비스업,24년차,김일홍,"정시출근, 필요할 때 회의, 평균근속 2년 미만, 프리한 복장 가능, 자유로운 육아휴직"
(주)에스엠컬처앤콘텐츠,1,대기업,광고 대행업,45년차,남궁철,"프리한 복장 가능, 커리어 발전 기회, 필요할 때 회의, 자유로운 연차, 필요할 때 회식"
에코플라스틱(주),,중견기업,자동차 차체용 신품 부품 제조업,41년차,이용철,"정시출근, 평균 연령 40대 이상, 프리한 복장 가능, 성과급 연 1회, 커리어 발전 기회"
지멘스(주),3,"대기업,1000대기업",전기용 기계ㆍ장비 및 관련 기자재 도매업,36년차,정하중,"자유로운 연차, 평균 연령 40대 이상, 워라밸 Excellent, 연차 모두 소진, 자유로운 출근"
한양이엔지(주),8,중견기업,건축설계 및 관련 서비스업,37년차,김윤상/이종근,"정시출근, 성과급 연 1회, 프리한 복장 가능, 커리어 발전 기회, 평균 연령 30대"
에어서울(주),,대기업,항공 여객 운송업,10년차,선완성,"정시출근, 필요할 때 회의, 자유로운 연차, 프리한 복장 가능, 커리어 발전 기회"
(주)디엔솔루션즈,,중견기업,전자 응용 절삭기계 제조업,9년차,김원종,"정시출근, 프리한 복장 가능, 성과급 연 1회, 평균 연령 40대 이상, 커리어 발전 기회"
(주)뷰웍스,5,중견기업,그 외 기타 의료용 기기 제조업,26년차,김후식,"평균 연령 30대, 프리한 복장 가능, 자유로운 연차, 성과급 연 1회, 자기개발비 지원"
(주)디앤오,2,"대기업,1000대기업",건물 및 토목 엔지니어링 서비스업,23년차,이동언,"정시출근, 프리한 복장 가능, 자유로운 연차, 자기개발비 지원, 필요할 때 회식"
삼성이앤에이(주),1,"대기업,1000대기업",기타 엔지니어링 서비스업,47년차,남궁홍,"커리어 발전 기회, 워라밸 Good, 평균 연령 40대 이상, 프리한 복장 가능, 자유로운 출근"
(주)유한건강생활,2,중견기업,건강기능식품 제조업,8년차,손정수,"평균 연령 30대, 정시출근, 평균근속 2년 미만, 커리어 발전 기회, 세미정장"
(주)경보제약,,"1000대기업,중견기업",완제 의약품 제조업,38년차,김태영,"정시출근, 프리한 복장 가능, 커리어 발전 기회, 평균 연령 30대, 평균근속 2~5년"
(주)마녀공장,1,중견기업,화장품 제조업,13년차,유근직,"프리한 복장 가능, 평균근속 2년 미만, 자유로운 연차, 간단한 식사회식, 평균 연령 20대"
콜마비앤에이치(주),2,중견기업,의약용 화합물 및 항생물질 제조업,11년차,윤여원,"평균 연령 30대, 정시출근, 성과급 연 1회, 커리어 발전 기회, 평균근속 2~5년"
한국필립모리스(주),1,,담배 제조업,36년차,윤희경,"프리한 복장 가능, 자유로운 연차, 성과급 연 1회, 연차 모두 소진, 야근없는 기업"
