회사명,제목,링크,지역,경력,학력,고용형태,마감일,직무분야,기타정보
(주)동구바이오제약,동구바이오제약 부문별 수시채용 모집(신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49475432&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=b9a2e2ea-80a3-42ff-8355-feb783c7b12c,서울 송파구,경력,학력무관,정규직,~ 12/08(일),"총무, 영업, 영업지원, 관리회계, 기업회계 외                    수정일 24/11/26",의료 지원 TOP100
(주)알레르망,2024년 하반기 수시 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49305952&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=b9a2e2ea-80a3-42ff-8355-feb783c7b12c,서울 강남구,신입·경력,대졸↑,정규직,~ 12/31(화),"점포개발, 인사, 인사행정, 인사기획, 총무 외                    수정일 24/11/27",생산 지원 TOP100
(주)위버시스템즈,신입/경력사원 채용 모집(경영지원/유선 네트워크 엔지니어/보안 엔지니어),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49447399&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=b9a2e2ea-80a3-42ff-8355-feb783c7b12c,서울 서초구,신입·경력,학력무관,정규직,~ 12/08(일),"총무, 영업, 영업관리, 거래처관리, 영업직 외                    수정일 24/11/21",기획·전략 스크랩 급상승
(주)필텍,(주)필텍 경리사원 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49477289&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=b9a2e2ea-80a3-42ff-8355-feb783c7b12c,경기 광명시,경력무관,학력무관,정규직,~ 01/25(토),"영업관리, 매출관리, 영업지원, 더존, 관리회계 외                    수정일 24/11/26",인기있는
한국코러스(주),한국코러스(주) 서울사무소 회계팀 사원~과장급 채용모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49470166&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=b9a2e2ea-80a3-42ff-8355-feb783c7b12c,서울 영등포구,경력2년↑,학력무관,정규직,~ 12/26(목),"인사, 경영지원, 공인회계사, 전산회계, 관리회계 외                    등록일 24/11/26",교육 지원 TOP100
(주)티엑스알로보틱스,2024년 하반기 상시채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49424016&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=b9a2e2ea-80a3-42ff-8355-feb783c7b12c,경기 부천시,경력무관,학력무관,정규직,~ 12/08(일),"채용담당자, 채용공고관리, 인사, 인사행정, 인사기획 외                    수정일 24/11/25",회계·세무·재무 조회 TOP100
아시아나에어포트(주),2024년 무안공항 지상조업직 신입사원 채용 모집공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49476264&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=b9a2e2ea-80a3-42ff-8355-feb783c7b12c,전남 무안군,신입,고졸↑,계약직,~ 12/08(일),"지상조업, 적재/하역, 항공운송, 적재/하역, 화물관리 외                    수정일 24/11/27","평균연봉 6,000 이상"
(주)아이아이컴바인드,[탬버린즈] 직영점 정규직 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49462006&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=b9a2e2ea-80a3-42ff-8355-feb783c7b12c,서울전체,경력무관,학력무관,정규직,~ 12/24(화),"영업, 판매직, 잡화판매, 화장품판매, 매장관리 외                    수정일 24/11/25",인기있는
한양이엔지(주),[품질/사무 신입/경력 채용 모집],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49419710&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=b9a2e2ea-80a3-42ff-8355-feb783c7b12c,대전 유성구,경력무관,초대졸↑,기간제·무기계약직,~ 12/18(수),"경리, 경리사무원, 더존, 계산서발행, 세무회계 외                    수정일 24/11/27",인기있는
(주)비락,(주)비락 대구공장 생산2팀 신입사원(5급) 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49411815&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=b9a2e2ea-80a3-42ff-8355-feb783c7b12c,대구 달성군,신입,고졸↑,정규직,~ 12/15(일),"단순생산직, 외관검사원, 품질검사원, 제조가공, 기타제조업 등록일 24/11/15",인기있는
